rp_id,x,y,ten,nhom,thu_muc_anh,mo_ta,mo_ta_chi_tiet,source,note
RP13,-13.0,22.0,Khu vực tự học,Khu vực tự học,khu_vuc_tu_hoc,"Khu vực có đầy đủ bàn ghế, ổ cắm điện, không gian yên tĩnh.","Khu vực tự học với đầy đủ bàn ghế, ổ cắm điện và không gian yên tĩnh. Các khu vực tự học được bố trí ở nhiều nơi trong thư viện, là nơi lý tưởng cho việc học tập và nghiên cứu.",CTK45_Bang4_tr46,
RP14,13.0,22.0,Khu vực tự học,Khu vực tự học,khu_vuc_tu_hoc,"Khu vực có đầy đủ bàn ghế, ổ cắm điện, không gian yên tĩnh.","Khu vực tự học với đầy đủ bàn ghế, ổ cắm điện và không gian yên tĩnh. Các khu vực tự học được bố trí ở nhiều nơi trong thư viện, là nơi lý tưởng cho việc học tập và nghiên cứu.",CTK45_Bang4_tr46,
RP15,26.0,22.0,Khu vực tự học,Khu vực tự học,khu_vuc_tu_hoc,"Khu vực có đầy đủ bàn ghế, ổ cắm điện, không gian yên tĩnh.","Khu vực tự học với đầy đủ bàn ghế, ổ cắm điện và không gian yên tĩnh. Các khu vực tự học được bố trí ở nhiều nơi trong thư viện, là nơi lý tưởng cho việc học tập và nghiên cứu.",CTK45_Bang4_tr46,
RP16,-42.0,24.0,Hành lang,Hành lang,hanh_lang,Hành lang di chuyển giữa các khu vực.,,CTK45_Bang4_tr46,
RP17,42.0,24.0,Hành lang,Hành lang,hanh_lang,Hành lang di chuyển giữa các khu vực.,,CTK45_combined_data,Bang4_tr46 ghi y=27 - sai. RP16 o (-42 24) la cap doi xung
RP18,-13.0,33.0,Khu vực tự học,Khu vực tự học,khu_vuc_tu_hoc,"Khu vực có đầy đủ bàn ghế, ổ cắm điện, không gian yên tĩnh.","Khu vực tự học với đầy đủ bàn ghế, ổ cắm điện và không gian yên tĩnh. Các khu vực tự học được bố trí ở nhiều nơi trong thư viện, là nơi lý tưởng cho việc học tập và nghiên cứu.",CTK45_Bang4_tr46,
RP19,0.0,33.0,Cầu thang,Cầu thang,cau_thang,Cầu thang di chuyển.,,CTK45_Bang4_tr46,
RP20,-22.0,34.0,Cầu thang,Cầu thang,cau_thang,Cầu thang di chuyển.,,CTK45_Bang4_tr46,
RP21,22.0,34.0,Cầu thang,Cầu thang,cau_thang,Cầu thang di chuyển.,,CTK45_Bang4_tr46,
RP22,-43.0,35.0,Khu vực đọc,Khu vực đọc,khu_vuc_doc,"Khu vực cung cấp các thể loại sách, môi trường yên tĩnh.","Khu vực đọc với không gian yên tĩnh, cung cấp nhiều loại sách và tài liệu học tập được sắp xếp gọn gàng ở các kệ sách trong khu vực. Hỗ trợ thuận tiện cho việc tìm kiếm tài liệu và học tập.",CTK45_Bang4_tr46,
RP23,-36.0,35.0,Khu vực tự học,Khu vực tự học,khu_vuc_tu_hoc,"Khu vực có đầy đủ bàn ghế, ổ cắm điện, không gian yên tĩnh.","Khu vực tự học với đầy đủ bàn ghế, ổ cắm điện và không gian yên tĩnh. Các khu vực tự học được bố trí ở nhiều nơi trong thư viện, là nơi lý tưởng cho việc học tập và nghiên cứu.",CTK45_Bang4_tr46,
RP24,36.0,35.0,Khu vực tự học,Khu vực tự học,khu_vuc_tu_hoc,"Khu vực có đầy đủ bàn ghế, ổ cắm điện, không gian yên tĩnh.","Khu vực tự học với đầy đủ bàn ghế, ổ cắm điện và không gian yên tĩnh. Các khu vực tự học được bố trí ở nhiều nơi trong thư viện, là nơi lý tưởng cho việc học tập và nghiên cứu.",CTK45_Bang4_tr46,
RP25,43.0,35.0,Khu vực đọc,Khu vực đọc,khu_vuc_doc,"Khu vực cung cấp các thể loại sách, môi trường yên tĩnh.","Khu vực đọc với không gian yên tĩnh, cung cấp nhiều loại sách và tài liệu học tập được sắp xếp gọn gàng ở các kệ sách trong khu vực. Hỗ trợ thuận tiện cho việc tìm kiếm tài liệu và học tập.",CTK45_Bang4_tr46,
RP26,-13.0,41.0,Khu vực đọc,Khu vực đọc,khu_vuc_doc,"Khu vực cung cấp các thể loại sách, môi trường yên tĩnh.","Khu vực đọc với không gian yên tĩnh, cung cấp nhiều loại sách và tài liệu học tập được sắp xếp gọn gàng ở các kệ sách trong khu vực. Hỗ trợ thuận tiện cho việc tìm kiếm tài liệu và học tập.",CTK45_combined_data,Bang4_tr46 ghi (3 4.5) - do la he luoi cua POI.geojson chu khong phai met. KHONG co trong du lieu thu 2025
RP27,13.0,41.0,Khu vực đọc,Khu vực đọc,khu_vuc_doc,"Khu vực cung cấp các thể loại sách, môi trường yên tĩnh.","Khu vực đọc với không gian yên tĩnh, cung cấp nhiều loại sách và tài liệu học tập được sắp xếp gọn gàng ở các kệ sách trong khu vực. Hỗ trợ thuận tiện cho việc tìm kiếm tài liệu và học tập.",CTK45_combined_data,Bang4_tr46 ghi (7 4.5) - do la he luoi cua POI.geojson chu khong phai met
RP28,0.0,41.0,Cầu thang,Cầu thang,cau_thang,Cầu thang di chuyển.,,CTK45_Bang4_tr46,
RP29,-22.0,45.0,Cầu thang,Cầu thang,cau_thang,Cầu thang di chuyển.,,CTK45_Bang4_tr46,
RP30,-13.0,45.0,Khu vực đọc,Khu vực đọc,khu_vuc_doc,"Khu vực cung cấp các thể loại sách, môi trường yên tĩnh.","Khu vực đọc với không gian yên tĩnh, cung cấp nhiều loại sách và tài liệu học tập được sắp xếp gọn gàng ở các kệ sách trong khu vực. Hỗ trợ thuận tiện cho việc tìm kiếm tài liệu và học tập.",CTK45_Bang4_tr46,
RP31,13.0,45.0,Khu vực đọc,Khu vực đọc,khu_vuc_doc,"Khu vực cung cấp các thể loại sách, môi trường yên tĩnh.","Khu vực đọc với không gian yên tĩnh, cung cấp nhiều loại sách và tài liệu học tập được sắp xếp gọn gàng ở các kệ sách trong khu vực. Hỗ trợ thuận tiện cho việc tìm kiếm tài liệu và học tập.",CTK45_Bang4_tr46,
RP32,22.0,45.0,Cầu thang,Cầu thang,cau_thang,Cầu thang di chuyển.,,CTK45_Bang4_tr46,
RP33,-30.0,52.0,Cầu thang tầng 2,Cầu thang tầng 2,cau_thang_tang_2,Cầu thang dẫn lên tầng 2,"Lối di chuyển lên tầng 2 của thư viện. Thư viện bố trí 2 cầu thang di chuyển ở hai bên trái phải, thuận tiện cho việc di chuyển giữa các tầng.",CTK45_Bang4_tr46,
RP34,-23.0,52.0,Cửa ra vào,Cửa ra vào,cua_ra_vao,Cửa ra vào thư viện,"Cửa ra vào thư viện gồm 2 cửa là cửa chính ở trước thư viện và cửa sau dẫn ra bãi đỗ xe cổng sau, thuận tiện cho việc di chuyển và đảm bảo an ninh.",CTK45_Bang4_tr46,
RP35,-15.0,52.0,Khu vực tự học,Khu vực tự học,khu_vuc_tu_hoc,"Khu vực có đầy đủ bàn ghế, ổ cắm điện, không gian yên tĩnh.","Khu vực tự học với đầy đủ bàn ghế, ổ cắm điện và không gian yên tĩnh. Các khu vực tự học được bố trí ở nhiều nơi trong thư viện, là nơi lý tưởng cho việc học tập và nghiên cứu.",CTK45_Bang4_tr46,
RP36,0.0,52.0,Bàn thủ thư,Bàn thủ thư,ban_thu_thu,Khu vực làm việc trung tâm của thủ thư.,"Bàn thủ thư là nơi làm việc trung tâm của cán bộ thư viện. Đây là khu vực hỗ trợ sinh viên và cán bộ giảng viên trong việc tìm kiếm, mượn tài liệu.",CTK45_Bang4_tr46,
RP37,9.0,52.0,Bàn thủ thư,Bàn thủ thư,ban_thu_thu,Khu vực làm việc trung tâm của thủ thư.,"Bàn thủ thư là nơi làm việc trung tâm của cán bộ thư viện. Đây là khu vực hỗ trợ sinh viên và cán bộ giảng viên trong việc tìm kiếm, mượn tài liệu.",CTK45_Bang4_tr46,
RP38,14.0,52.0,Khu vực tự học,Khu vực tự học,khu_vuc_tu_hoc,"Khu vực có đầy đủ bàn ghế, ổ cắm điện, không gian yên tĩnh.","Khu vực tự học với đầy đủ bàn ghế, ổ cắm điện và không gian yên tĩnh. Các khu vực tự học được bố trí ở nhiều nơi trong thư viện, là nơi lý tưởng cho việc học tập và nghiên cứu.",CTK45_Bang4_tr46,
RP39,22.0,52.0,Phòng tạp chí,Phòng tạp chí,phong_tap_chi,Phòng lưu trữ tạp chí và nhiều sách đa dạng thể loại.,"Phòng tạp chí lưu trữ nhiều loại tạp chí và sách đa dạng thể loại, phục vụ nhu cầu nghiên cứu và học tập.",CTK45_Bang4_tr46,
RP40,29.0,52.0,Cầu thang tầng 2,Cầu thang tầng 2,cau_thang_tang_2,Cầu thang dẫn lên tầng 2,"Lối di chuyển lên tầng 2 của thư viện. Thư viện bố trí 2 cầu thang di chuyển ở hai bên trái phải, thuận tiện cho việc di chuyển giữa các tầng.",CTK45_Bang4_tr46,
RP41,,,,,,,,CHUA_DO,DIEM MOI cua nhom 2025 - khong co trong do an CTK45. PHAI do thuc dia. Uoc luong tho tu van tay RSSI: khoang (-14.5 40.7)
